condsFile,readyMsg,stimFile,Valence,conditionsLoop.thisRepN,conditionsLoop.thisTrialN,conditionsLoop.thisN,conditionsLoop.thisIndex,experimentalLoop.thisRepN,experimentalLoop.thisTrialN,experimentalLoop.thisN,experimentalLoop.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,respTask.keys,respTask.rt,session,participant,date,expName,frameRate,
,,,,,,,,,,,,t,1.2701531120001164,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
,,,,,,,,,,,,,,t,0.7346242509993317,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
,,,,,,,,,,,,,,,,t,4.4590295140005765,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/4534.jpg,Positive,0,0,0,2,0,0,0,3,,,,,,,t,4.093212263996975,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/7450.jpg,Positive,0,0,0,2,0,1,1,20,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/7460.jpg,Positive,0,0,0,2,0,2,2,21,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/8380.jpg,Positive,0,0,0,2,0,3,3,28,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/7475.jpg,Positive,0,0,0,2,0,4,4,22,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/4653.jpg,Positive,0,0,0,2,0,5,5,8,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/8470.jpg,Positive,0,0,0,2,0,6,6,29,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/8540.jpg,Positive,0,0,0,2,0,7,7,32,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/4608.jpg,Positive,0,0,0,2,0,8,8,4,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/7230.jpg,Positive,0,0,0,2,0,9,9,13,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/7330.jpg,Positive,0,0,0,2,0,10,10,14,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/7340.jpg,Positive,0,0,0,2,0,11,11,15,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/1720.jpg,Positive,0,0,0,2,0,12,12,0,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/7481.jpg,Positive,0,0,0,2,0,13,13,24,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/5622.jpg,Positive,0,0,0,2,0,14,14,11,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/8200.jpg,Positive,0,0,0,2,0,15,15,27,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/4651.jpg,Positive,0,0,0,2,0,16,16,7,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/8041.jpg,Positive,0,0,0,2,0,17,17,25,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/8500.jpg,Positive,0,0,0,2,0,18,18,30,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/5628.jpg,Positive,0,0,0,2,0,19,19,12,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/8502.jpg,Positive,0,0,0,2,0,20,20,31,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/5270.jpg,Positive,0,0,0,2,0,21,21,10,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/7402.jpg,Positive,0,0,0,2,0,22,22,18,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/4531.jpg,Positive,0,0,0,2,0,23,23,2,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/7430.jpg,Positive,0,0,0,2,0,24,24,19,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/7351.jpg,Positive,0,0,0,2,0,25,25,17,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/4656.jpg,Positive,0,0,0,2,0,26,26,9,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/7350.jpg,Positive,0,0,0,2,0,27,27,16,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/2240.jpg,Positive,0,0,0,2,0,28,28,1,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/4611.jpg,Positive,0,0,0,2,0,29,29,5,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/7480.jpg,Positive,0,0,0,2,0,30,30,23,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/8090.jpg,Positive,0,0,0,2,0,31,31,26,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/4640.jpg,Positive,0,0,0,2,0,32,32,6,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/7430.jpg,Positive,0,0,0,2,1,0,33,19,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/7351.jpg,Positive,0,0,0,2,1,1,34,17,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/7350.jpg,Positive,0,0,0,2,1,2,35,16,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/4531.jpg,Positive,0,0,0,2,1,3,36,2,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/4608.jpg,Positive,0,0,0,2,1,4,37,4,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/2240.jpg,Positive,0,0,0,2,1,5,38,1,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/7475.jpg,Positive,0,0,0,2,1,6,39,22,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
positiveBlock.csv,Pronto,stims/7230.jpg,Positive,0,0,0,2,1,7,40,13,,,,,,,,,001,,2018_Sep_10_1520,TBPMnBack,60.03237954429074,
