condsFile,readyMsg,stimFile,Valence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,conditionsLoop.thisRepN,conditionsLoop.thisTrialN,conditionsLoop.thisN,conditionsLoop.thisIndex,experimentalLoop.thisRepN,experimentalLoop.thisTrialN,experimentalLoop.thisN,experimentalLoop.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,respTask.keys,respTask.rt,session,participant,date,expName,frameRate,
,,,,,,,,,,,,,,,,,,,,t,1.3953038560030109,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/009.i.jpg,Practice,0,0,0,0,0,0,0,8,,,,,,,,,,,t,2.810284507999313,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/018.i.jpg,Practice,0,0,0,0,0,1,1,17,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/001.i.jpg,Practice,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/015.i.jpg,Practice,0,0,0,0,0,3,3,14,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/010.i.jpg,Practice,0,0,0,0,0,4,4,9,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/006.i.jpg,Practice,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/002.i.jpg,Practice,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/011.i.jpg,Practice,0,0,0,0,0,7,7,10,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/013.i.jpg,Practice,0,0,0,0,0,8,8,12,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/017.i.jpg,Practice,0,0,0,0,0,9,9,16,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/008.i.jpg,Practice,0,0,0,0,0,10,10,7,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/004.i.jpg,Practice,0,0,0,0,0,11,11,3,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/022.i.jpg,Practice,0,0,0,0,0,12,12,21,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/019.i.jpg,Practice,0,0,0,0,0,13,13,18,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/003.i.jpg,Practice,0,0,0,0,0,14,14,2,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/005.i.jpg,Practice,0,0,0,0,0,15,15,4,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/012.i.jpg,Practice,0,0,0,0,0,16,16,11,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/020.i.jpg,Practice,0,0,0,0,0,17,17,19,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/016.i.jpg,Practice,0,0,0,0,0,18,18,15,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/007.i.jpg,Practice,0,0,0,0,0,19,19,6,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/021.i.jpg,Practice,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,stims/014.i.jpg,Practice,0,0,0,0,0,21,21,13,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
practiceBlock.csv,Pronto,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
,,,,,,,,,,,,,,,,,,,,,,,,t,5.49131056799888,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
NeutralBlock.csv,Pronto,stims/4000.jpg,Neutral,,,,,,,,,0,0,0,1,0,0,0,2,,,,,,,t,9.930236075000721,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
NeutralBlock.csv,Pronto,stims/9045.jpg,Neutral,,,,,,,,,0,0,0,1,0,1,1,21,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
NeutralBlock.csv,Pronto,stims/4490.jpg,Neutral,,,,,,,,,0,0,0,1,0,2,2,6,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
NeutralBlock.csv,Pronto,stims/4525.jpg,Neutral,,,,,,,,,0,0,0,1,0,3,3,8,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
NeutralBlock.csv,Pronto,stims/7190.jpg,Neutral,,,,,,,,,0,0,0,1,0,4,4,14,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
NeutralBlock.csv,Pronto,stims/8050.jpg,Neutral,,,,,,,,,0,0,0,1,0,5,5,19,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
NeutralBlock.csv,Pronto,stims/2312.jpg,Neutral,,,,,,,,,0,0,0,1,0,6,6,0,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
NeutralBlock.csv,Pronto,stims/8116.jpg,Neutral,,,,,,,,,0,0,0,1,0,7,7,20,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
NeutralBlock.csv,Pronto,stims/7830.jpg,Neutral,,,,,,,,,0,0,0,1,0,8,8,18,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
NeutralBlock.csv,Pronto,stims/7237.jpg,Neutral,,,,,,,,,0,0,0,1,0,9,9,15,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
NeutralBlock.csv,Pronto,stims/4520.jpg,Neutral,,,,,,,,,0,0,0,1,0,10,10,7,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
NeutralBlock.csv,Pronto,stims/7820.jpg,Neutral,,,,,,,,,0,0,0,1,0,11,11,17,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
NeutralBlock.csv,Pronto,stims/2850.jpg,Neutral,,,,,,,,,0,0,0,1,0,12,12,1,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
NeutralBlock.csv,Pronto,stims/4001.jpg,Neutral,,,,,,,,,0,0,0,1,0,13,13,3,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
NeutralBlock.csv,Pronto,stims/4180.jpg,Neutral,,,,,,,,,0,0,0,1,0,14,14,5,,,,,,,,,001,,2018_Sep_10_1556,TBPMnBack,60.42547595877134,
