condsFile,readyMsg,stimFile,Valence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,respWS.keys,respWS.rt,respPract.keys,respPract.rt,session,participant,date,expName,frameRate,
,,,,,,,,,,,,t,1.452610772998014,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/011.i.jpg,Practice,0,0,0,0,0,0,0,10,,,t,0.6188276339998993,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/005.i.jpg,Practice,0,0,0,0,0,1,1,4,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/009.i.jpg,Practice,0,0,0,0,0,2,2,8,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/002.i.jpg,Practice,0,0,0,0,0,3,3,1,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/003.i.jpg,Practice,0,0,0,0,0,4,4,2,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/022.i.jpg,Practice,0,0,0,0,0,5,5,21,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/017.i.jpg,Practice,0,0,0,0,0,6,6,16,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/013.i.jpg,Practice,0,0,0,0,0,7,7,12,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/012.i.jpg,Practice,0,0,0,0,0,8,8,11,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/014.i.jpg,Practice,0,0,0,0,0,9,9,13,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/020.i.jpg,Practice,0,0,0,0,0,10,10,19,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/004.i.jpg,Practice,0,0,0,0,0,11,11,3,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/018.i.jpg,Practice,0,0,0,0,0,12,12,17,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/007.i.jpg,Practice,0,0,0,0,0,13,13,6,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/021.i.jpg,Practice,0,0,0,0,0,14,14,20,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/008.i.jpg,Practice,0,0,0,0,0,15,15,7,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/006.i.jpg,Practice,0,0,0,0,0,16,16,5,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/016.i.jpg,Practice,0,0,0,0,0,17,17,15,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/015.i.jpg,Practice,0,0,0,0,0,18,18,14,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/001.i.jpg,Practice,0,0,0,0,0,19,19,0,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/019.i.jpg,Practice,0,0,0,0,0,20,20,18,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,stims/010.i.jpg,Practice,0,0,0,0,0,21,21,9,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
practiceBlock.csv,Pronto,,,0,0,0,0,,,,,,,,,001,,2018_Sep_10_1615,TBPMnBack,60.09690361274198,
